id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,HAT,MIN,FP,FP_AVG
5430,2025,actual,46.0,3.0,0.0,5.0,3.0,82.0,0.0,2.0,15.0,20.0,3.0,0.0,9.0,968.95,21.0,0.0,0.0,4.0,19379.0,6.0,12.0,3.0,92.0,425.0,,,73.0,3.65
5430,2026,projected,182.0,9.0,,72.0,9.0,,,,12.0,69.0,3.0,,22.0,990.0,45.0,6.0,6.0,32.0,68310.0,24.0,23.0,3.0,,,,,198.7,2.88
5430,2026,actual,31.0,4.0,0.0,18.0,4.0,109.0,0.0,2.0,10.0,27.0,1.0,0.0,7.0,999.7,17.0,3.0,3.0,2.0,26992.0,6.0,10.0,1.0,126.0,554.0,,,59.05,2.19
5430,2027,projected,128.0,6.0,,50.0,6.0,,,,7.0,56.0,2.0,,17.0,998.88,35.0,4.0,4.0,22.0,55937.0,18.0,18.0,2.0,,,,,148.0,2.64
5430,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2023,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2023,actual,50.0,0.0,0.0,98.0,0.0,187.0,0.0,0.0,-16.0,52.0,0.0,0.0,3.0,633.92,7.0,0.0,0.0,86.0,32964.0,24.0,4.0,0.0,182.0,783.0,,,94.3,1.81
5474,2024,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2024,actual,92.0,1.0,2.0,136.0,3.0,366.0,0.0,0.0,-11.0,77.0,1.0,2.0,10.0,733.17,16.0,0.0,0.0,102.0,56454.0,35.0,6.0,3.0,419.0,1317.0,,,152.1,1.98
5474,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2025,actual,81.0,0.0,1.0,130.0,3.0,308.0,2.0,2.0,5.0,77.0,0.0,3.0,6.0,717.06,19.0,2.0,0.0,56.0,55214.0,39.0,13.0,1.0,358.0,1321.0,,,130.75,1.7
5474,2026,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2026,actual,75.0,0.0,0.0,106.0,1.0,244.0,1.0,1.0,2.0,73.0,0.0,1.0,9.0,628.22,16.0,1.0,0.0,65.0,45860.0,35.0,7.0,0.0,296.0,1127.0,,,122.35,1.68
5474,2027,projected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
